   0	57
   0	58
   0	59
   1	60
   0	61
   5	62
   1	63
   4	64
   1	65
   2	66
   3	67
   4	68
   1	69
   6	70
   8	71
   6	72
   8	73
  10	74
  14	75
  26	76
  34	77
  31	78
  94	79
  91	80
  92	81
 145	82
 199	83
 225	84
 309	85
 406	86
 543	87
 475	88
 676	89
 776	90
1171	91
1144	92
1427	93
1322	94
1610	95
1505	96
1519	97
2297	98
2079	99
2018	100
2069	101
2009	102
1720	103
1784	104
2392	105
2498	106
2084	107
2584	108
2347	109
1170	110
1741	111
2400	112
2326	113
2312	114
1769	115
2262	116
1126	117
1338	118
2136	119
2612	120
2029	121
1947	122
1426	123
1313	124
1240	125
2142	126
2391	127
2207	128
1518	129
1615	130
 731	131
1156	132
1674	133
1763	134
1779	135
1632	136
1224	137
 808	138
 785	139
1574	140
1518	141
1263	142
1277	143
1108	144
 633	145
 500	146

